기준_년분기_코드,행정동_코드,행정동_코드_명,총_유동인구_수,남성_유동인구_수,여성_유동인구_수,연령대_10_유동인구_수,연령대_20_유동인구_수,연령대_30_유동인구_수,연령대_40_유동인구_수,연령대_50_유동인구_수,연령대_60_이상_유동인구_수,시간대_00_06_유동인구_수,시간대_06_11_유동인구_수,시간대_11_14_유동인구_수,시간대_14_17_유동인구_수,시간대_17_21_유동인구_수,시간대_21_24_유동인구_수,월요일_유동인구_수,화요일_유동인구_수,수요일_유동인구_수,목요일_유동인구_수,금요일_유동인구_수,토요일_유동인구_수,일요일_유동인구_수
20211,11140580,장충동,1975671,1030550,945121,135671,497098,367400,319622,278976,376904,437895,444811,300842,290101,299140,202881,298780,307449,304246,298966,288377,242623,235230
20212,11140580,장충동,2052515,1066191,986324,137791,524951,383516,337855,288625,379777,454888,462234,315059,301374,309005,209953,311731,317294,307264,314750,308137,252593,240746
20213,11140580,장충동,2031679,1059189,972489,121808,514992,385432,339501,293187,376758,453449,462394,308090,294485,302734,210524,299238,305867,308940,314718,309679,252266,240971
20214,11140580,장충동,2166825,1117242,1049583,125812,563217,412887,359868,310609,394431,472778,487781,333841,321649,329667,221108,316791,330922,333051,329578,323693,271408,261379
20221,11140580,장충동,2100143,1068038,1032105,140873,546183,396042,349363,292195,375484,466120,468548,318407,307126,321428,218514,314655,310662,310203,322727,318100,266084,257711
20222,11140580,장충동,2282214,1153803,1128411,177185,607581,420637,371063,308829,396919,498789,509934,354145,336544,351113,231688,344785,349751,343021,341975,337518,288789,276374
20223,11140580,장충동,2237927,1125080,1112847,173914,584984,412840,369515,309312,387362,480961,500754,346646,330954,351782,226831,321856,342390,344028,345755,326239,280413,277246
20224,11140580,장충동,2370640,1190922,1179718,193517,672081,422598,370969,322897,388578,503777,521005,370174,354386,380575,240723,343916,359678,358659,362205,347430,302985,295768
20231,11140580,장충동,2268052,1148611,1119441,184855,612824,410660,359420,318963,381330,486371,503615,352203,338354,357413,230097,335103,345010,340640,346723,338488,283621,278466
20232,11140580,장충동,2428415,1223829,1204586,200687,702316,420894,375479,329695,399342,511374,539296,386497,364382,382443,244422,357326,371718,373676,372776,351406,307842,293671
20233,11140580,장충동,2268592,1148857,1119737,155002,609594,415619,368234,327634,392510,477400,509424,360864,341451,353397,226057,347403,347901,342817,336425,328289,284976,280783
20234,11140580,장충동,2247393,1121282,1126110,161547,659585,395539,346591,311583,372547,464869,491591,359020,340925,366122,224866,324936,340651,349921,347077,329982,277942,276885
20191,11140645,청구동,3911798,1825418,2086380,552122,506015,628866,595366,559000,1070429,1061522,823657,451364,440924,623929,510400,557998,559332,559158,557815,558499,554645,564351
20192,11140645,청구동,2510987,1178216,1332771,382731,317930,404370,379954,355794,670208,685078,530715,293558,283506,393823,324306,362752,357431,362275,362174,361599,348265,356492
20193,11140645,청구동,3499897,1643211,1856685,527473,443237,557693,530932,496649,943913,975572,737088,400796,388682,543243,454516,509111,504816,504183,502621,488884,488503,501781
